epoch,loss_total,loss_recon,loss_kld
44,-322.21000342060336,-329.09720298712205,6.887199978176638
45,-320.992183218757,-327.8254322079446,6.833248598112477
46,-320.85013541900855,-327.74312597041506,6.8929910351046555
47,-320.51349667336444,-327.3800717360682,6.866574719655428
48,-322.68900019144843,-329.50743750702566,6.818437391047855
49,-321.07924394127275,-327.9407913976436,6.861547147627357
50,-321.4227011701186,-328.2640788126335,6.841376534468836
51,-321.1950764827591,-328.0045166015625,6.809440650528283
52,-320.4886822597586,-327.34115117573907,6.852469327638475
53,-322.9439329517831,-329.7372788902667,6.79334565718397
54,-322.0186531560884,-328.7893537342977,6.770701267736421
55,-323.71305989876066,-330.5314400213228,6.818378530817924
56,-319.01524594533356,-325.8277823907866,6.812536613546687
57,-322.5232202543629,-329.36162298188793,6.838403917902665
58,-322.20095956925866,-328.9996678194554,6.798708936293348
59,-322.41793537825987,-329.213094038929,6.795158808179896
60,-321.6358667826481,-328.40226515077,6.766399047357573
61,-322.0187088122471,-328.781986703118,6.76327828537646
62,-321.8892270095057,-328.67543853101114,6.786209336287683
63,-321.4950203655435,-328.22770361591586,6.732681929636344
64,-322.18749110818766,-328.92461960607295,6.73712872086669
65,-322.1204983279002,-328.9239090295147,6.803409991504477
66,-322.86454805881857,-329.6439805065128,6.779432022314277
67,-322.5877913879834,-329.3605648562205,6.772773149202195
68,-322.4500800482661,-329.20233637308905,6.752256064106234
69,-322.9052307348457,-329.67186918190055,6.7666399839113085
70,-321.6255554638321,-328.32957656091924,6.704022668248458
71,-322.8420545180067,-329.5633058616583,6.7212528153289135
72,-321.7380528072659,-328.45734147545244,6.719288870585051
73,-324.5318486055882,-331.2640501612382,6.732201435583101
74,-323.2731008186615,-329.98410176887785,6.7110005797242085
75,-322.8301934990094,-329.53186408392816,6.70167134305556
76,-322.54848002701357,-329.2064387918376,6.657959577848586
77,-323.79811041303674,-330.46897943071326,6.670869425903979
78,-321.9976037114644,-328.6041139012618,6.606509973676943
79,-322.6749287337708,-329.38388368894726,6.708955425152675
80,-321.57432951344003,-328.2361494105497,6.661818614108957
81,-324.36649756122836,-331.0371998299798,6.670701407700133
82,-321.73018256537347,-328.3643888844003,6.634206205820866
83,-322.3751318403285,-329.0465475398002,6.6714156102791105
84,-322.97210770202196,-329.6294185720759,6.657311813436824
85,-324.4560950848696,-331.09459033115303,6.638495177673779
86,-322.77931213378906,-329.44006018329867,6.660748498902904
87,-323.34333340212595,-330.0064174734431,6.663084915216021
88,-322.4147276295175,-329.0728249309732,6.6580987182452525
89,-322.4290894432891,-329.06502011525544,6.635930620509086
90,-322.9075748800374,-329.51497973984095,6.6074055390392274
91,-322.1651997737747,-328.72031451986845,6.555113319012759
92,-322.95348188002333,-329.56576450265567,6.612282077185542
93,-324.2199496262365,-330.84663577731567,6.626685835474687
94,-322.88495180418164,-329.50797661431403,6.6230251909159925
95,-324.66261917224034,-331.28084020820455,6.6182213961649285
96,-323.94278568844146,-330.5169515266693,6.574164500339426
97,-324.2660523558692,-330.89224298051795,6.626190391375864
98,-324.6704831569315,-331.294435020831,6.623952080019944
99,-322.845263913381,-329.4578786067825,6.61261518396062
100,-324.3819363820467,-330.9661335018899,6.58419784024465
