epoch,loss_total,loss_recon,loss_kld
1,62.42216834232961,60.967790312046624,1.4543782749863194
2,-24.416863798237532,-27.16684554463668,2.7499817750222393
3,-105.00958238231192,-110.9905114002365,5.980928851546143
4,-182.80304564331934,-191.6717878931718,8.8687424659729
5,-219.58930508181345,-229.0522875888742,9.462982644280084
6,-227.02862496684781,-236.24267309175121,9.214048591449107
7,-226.8586820424032,-235.83809557578547,8.979413780377065
8,-231.85383737687584,-240.38295970889305,8.529122980378515
9,-232.3794985983869,-240.60938641664794,8.229887982924208
10,-235.54429209318093,-243.56522122389978,8.020928564689143
11,-248.9687452796552,-257.33209590774646,8.36335000031286
12,-255.48289522678732,-263.69753512375644,8.214640013605571
13,-260.0682290715279,-267.99865854386803,7.930429455187681
14,-255.43955367932216,-263.1950436598963,7.7554900491837975
15,-262.8498945716474,-270.65463684960235,7.804742703334891
16,-268.06799294451156,-275.814829215729,7.746835646869467
17,-263.0053788878077,-270.3951545550669,7.389775358515678
18,-258.0327464590827,-265.1712634409074,7.138517321442529
19,-268.9884417417238,-276.30185090209085,7.313409918503796
20,-268.3007607219888,-275.52660474159734,7.225843330081418
21,-269.91943930207395,-276.98596004787964,7.066521013383385
22,-266.1776963926905,-273.08102285261634,6.903327163174856
23,-271.5611049734431,-278.49697952819383,6.935875374636204
24,-271.44333621237774,-278.45552073965825,7.01218450669762
25,-270.7126821613998,-277.62312953592203,6.910447995439708
26,-272.2095709052875,-279.01454667564775,6.804975701750611
27,-272.26332004464786,-279.0297607860977,6.766439935286268
28,-275.22466612891327,-282.165457087455,6.940791706387087
29,-271.37697551919405,-278.13382364177016,6.7568482529345175
30,-274.53270090226647,-281.2378134967612,6.705112079922244
31,-276.6159552704516,-283.4148297206961,6.798874518854155
32,-276.0123827817629,-282.76854184377106,6.756160389605186
33,-272.56835388622693,-279.19624734782485,6.627893564512404
34,-278.95182503899224,-285.5401844052102,6.588359829333188
35,-277.6097424184676,-284.28676544848105,6.677023211829097
36,-277.9593548671805,-284.7935376064383,6.834181751278664
37,-274.2275055809844,-280.8100265393154,6.582521037232104
38,-280.60421621199134,-287.3648772754257,6.760661468231421
39,-290.50315110460457,-297.448216939144,6.945067024917054
40,-293.72150755957733,-300.62174153499467,6.9002345585994584
41,-297.4071542204713,-304.3995369012407,6.99238268419993
42,-296.9708430887126,-303.99644547057665,7.025602443612737
43,-304.07250800921764,-311.09323098162093,7.02072185406582
44,-303.6426433316238,-310.8272697393843,7.184627378587242
45,-304.2015361099792,-311.31445641826383,7.11292004413742
46,-308.07563199928336,-315.2577403775222,7.182108700704232
47,-298.44325453943486,-305.59864894949277,7.1553940635790925
48,-306.89486233279,-314.03559579094537,7.140734449564982
49,-307.4525637180685,-314.71195292301314,7.259389102030143
50,-290.94968584458604,-298.0959536326017,7.146268522139076
51,-307.1020299239124,-314.0296480466994,6.9276180335943645
52,-307.58992608159565,-314.7277711278243,7.137845073672508
53,-308.7673216895234,-315.8382492614307,7.070926477583193
54,-308.83154000481255,-315.95235799885484,7.120817311376118
55,-308.3115411113492,-315.40145852068343,7.0899174642219815
56,-304.8553316404494,-311.93664682511803,7.081312968576555
57,-311.350949404051,-318.37726104516776,7.026311757753221
58,-237.1654265698769,-244.17821409376404,7.012787345502017
59,-276.40368191286814,-283.16465012804207,6.760968921853484
60,-297.9650602272089,-304.73320545223976,6.768146048346869
61,-302.0041800299994,-308.89958366558704,6.895403357718489
62,-306.217106990677,-313.2078114242005,6.990703582763672
63,-308.44691412397424,-315.5138946094101,7.066980255593498
64,-309.06840537091813,-316.2214506958886,7.153045064253773
65,-311.23998276964363,-318.4020846799123,7.162101958295424
66,-312.4459974988759,-319.56944922577566,7.123452011629832
67,-311.1664007173168,-318.2922087744843,7.125807991988367
68,-313.46024986651304,-320.4620156048013,7.001765350643679
69,-308.58786943833604,-315.6879510673688,7.100083635865356
70,-307.27071858138487,-314.30435257506883,7.033632501423788
71,-312.6334450262056,-319.7446530568514,7.111208377124594
72,-312.459398338263,-319.55058387372134,7.091185823618937
73,-306.93151646895376,-314.0122508316589,7.080734489633025
74,-308.3549465481326,-315.29895030508794,6.944003636888463
75,-309.7355166647932,-316.7411067605876,7.005589035775164
76,-313.7427066281545,-320.7611456123187,7.018439107661624
77,-312.617654814137,-319.5372105879749,6.919554655500453
78,-314.43474836829756,-321.33635607383235,6.901606741569025
79,-316.11608952584027,-323.0727171314706,6.956627852625126
80,-312.19693607906646,-319.11508914206524,6.918153004680606
81,-313.6759770894222,-320.4407127984136,6.76473610006648
82,-314.9011109715743,-321.72016753052634,6.819055872855427
83,-314.36378709532374,-321.2064228743958,6.8426353948579415
84,-316.70302806826805,-323.55060209644785,6.847574312909901
85,-313.1098355080584,-319.9435565317277,6.833719943067153
86,-312.51179603192446,-319.2027718523423,6.690975926762862
87,-315.7673924946956,-322.50496964488957,6.737577476089807
88,-316.1397250607717,-322.94633385088804,6.806610783227056
89,-315.50013096212484,-322.26639211092066,6.766261423234459
90,-316.53974025369547,-323.28561785581303,6.745878730746482
91,-316.4603978438343,-323.2389065310252,6.778508145174534
92,-315.5916167334687,-322.2849189154536,6.693301784048836
93,-318.9538051687556,-325.7065034495841,6.752698839997216
94,-316.3145852946549,-322.95933818131044,6.644753826607903
95,-316.8300775761227,-323.5022994665791,6.672221832138171
96,-319.289989992869,-325.956604662559,6.666616069327156
97,-316.8206635619239,-323.4545862211598,6.633922425963038
98,-317.71942259424884,-324.3553357021414,6.635913039282929
99,-319.94139461380115,-326.57692438578437,6.6355291064694635
100,-318.6520948890302,-325.28939094817895,6.637295379913111
