model_type,training_time_seconds,training_time_minutes,mae_mean,mae_std,rmse_mean,rmse_std,n2n_mse_mean,n2n_mse_std
linear,101.94580211210996,1.6990967018684993,0.06317611038684845,0.05154037848114967,0.07938284426927567,0.06433108448982239,0.2909978871285875,0.19483763820561242
lstm,176.28505453513935,2.9380842422523226,0.06397873163223267,0.0518965981900692,0.08043091744184494,0.06460999697446823,0.29268830678499697,0.19752877461917248
